jersey_number,position,name,dob,nation,nation_code,club,club_country,height_cm,caps,int_goals,c2425_matches,c2425_starts,c2425_minutes,c2425_nineties,c2425_goals,c2425_assists,c2425_pens_scored,c2425_pens_att,c2425_yellows,c2425_reds,c2425_shots,c2425_shots_on_target,c2425_fouls,c2425_interceptions,c2425_tackles_won,c2425_own_goals,c2425_pens_won,c2425_pens_conceded,c2425_match_score,c2425_matched_player,c2526_matches,c2526_starts,c2526_minutes,c2526_nineties,c2526_goals,c2526_assists,c2526_pens_scored,c2526_pens_att,c2526_yellows,c2526_reds,c2526_shots,c2526_shots_on_target,c2526_fouls,c2526_interceptions,c2526_tackles_won,c2526_own_goals,c2526_pens_won,c2526_pens_conceded,c2526_match_score,c2526_matched_player,i2018_matches,i2018_starts,i2018_minutes,i2018_nineties,i2018_goals,i2018_assists,i2018_pens_scored,i2018_pens_att,i2018_yellows,i2018_reds,i2018_shots,i2018_shots_on_target,i2018_fouls,i2018_interceptions,i2018_tackles_won,i2018_own_goals,i2018_pens_won,i2018_pens_conceded,i2018_match_score,i2018_matched_player,i2022_matches,i2022_starts,i2022_minutes,i2022_nineties,i2022_goals,i2022_assists,i2022_pens_scored,i2022_pens_att,i2022_yellows,i2022_reds,i2022_shots,i2022_shots_on_target,i2022_fouls,i2022_interceptions,i2022_tackles_won,i2022_own_goals,i2022_pens_won,i2022_pens_conceded,i2022_match_score,i2022_matched_player
10,FW,DAVID Jonathan Jonathan Christian DAVID J. DAVID,14/01/2000,Canada,CAN,Juventus FC,ITA,175,80,42,32.0,28.0,2554.0,28.4,16.0,5.0,6.0,7.0,4.0,0.0,73.0,35.0,25.0,7.0,9.0,0.0,,,100.0,Jonathan David,35.0,20.0,1781.0,19.8,6.0,4.0,0.0,1.0,0.0,0.0,41.0,16.0,30.0,6.0,10.0,0.0,,,100.0,Jonathan David,,,,,,,,,,,,,,,,,,,,,3.0,2.0,192.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,1.0,0.0,,,100.0,Jonathan David
11,MF,MILLAR Liam Liam Alan MILLAR MILLAR,27/09/1999,Canada,CAN,Hull City FC,ENG,176,43,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,100.0,Liam Millar
12,FW,OLUWASEYI Tani Tanitoluwa Oluwatimilehin OLUWASEYI OLUWASEYI,15/05/2000,Canada,CAN,Villarreal CF,ESP,187,27,2,,,,,,,,,,,,,,,,,,,,,27.0,9.0,901.0,10.0,2.0,2.0,0.0,0.0,1.0,0.0,16.0,7.0,11.0,1.0,5.0,0.0,,,100.0,Tani Oluwaseyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,DF,CORNELIUS Derek Derek Austin CORNELIUS CORNELIUS,25/11/1997,Canada,CAN,Rangers FC,SCO,186,47,1,21.0,17.0,1420.0,15.8,0.0,0.0,0.0,0.0,9.0,2.0,9.0,1.0,25.0,13.0,17.0,0.0,,,100.0,Derek Cornelius,2.0,0.0,58.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,100.0,Derek Cornelius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,Derek Cornelius
14,MF,SHAFFELBURG Jacob Jacob Everett SHAFFELBURG SHAFFELBURG,26/11/1999,Canada,CAN,LAFC,USA,181,34,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,DF,BOMBITO Moise Moïse Bombito LUMPUNGU BOMBITO,30/03/2000,Canada,CAN,OGC Nice,FRA,190,21,0,27.0,25.0,2192.0,24.4,0.0,0.0,0.0,0.0,3.0,1.0,8.0,1.0,28.0,20.0,28.0,1.0,,,100.0,Moïse Bombito,2.0,2.0,145.0,1.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,,,100.0,Moïse Bombito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,GK,CREPEAU Maxime Maxime CRÉPEAU CRÉPEAU,11/05/1994,Canada,CAN,Orlando City SC,USA,185,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,FW,BUCHANAN Tajon Tajon Trevor BUCHANAN BUCHANAN,08/02/1999,Canada,CAN,Villarreal CF,ESP,183,63,8,13.0,4.0,416.0,4.6,1.0,2.0,0.0,0.0,2.0,0.0,7.0,2.0,12.0,3.0,5.0,0.0,,,100.0,Tajon Buchanan,34.0,21.0,1819.0,20.2,7.0,1.0,0.0,0.0,8.0,0.0,27.0,11.0,18.0,22.0,19.0,0.0,,,100.0,Tajon Buchanan,,,,,,,,,,,,,,,,,,,,,3.0,3.0,260.0,2.9,0.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,6.0,3.0,1.0,0.0,,,100.0,Tajon Buchanan
18,GK,GOODMAN Owen Owen Olamidayo GOODMAN GOODMAN,27/11/2003,Canada,CAN,Barnsley,ENG,193,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,DF,DAVIES Alphonso Alphonso Boyle DAVIES DAVIES,02/11/2000,Canada,CAN,FC Bayern München,GER,183,58,15,19.0,17.0,1560.0,17.3,1.0,2.0,0.0,0.0,0.0,0.0,17.0,3.0,8.0,13.0,16.0,0.0,,,100.0,Alphonso Davies,13.0,6.0,525.0,5.8,1.0,3.0,0.0,0.0,1.0,0.0,4.0,1.0,2.0,3.0,6.0,0.0,,,100.0,Alphonso Davies,,,,,,,,,,,,,,,,,,,,,3.0,3.0,270.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,2.0,4.0,3.0,1.0,0.0,,,100.0,Alphonso Davies
20,FW,AHMED Ali Ali AHMED AHMED,10/10/2000,Canada,CAN,Norwich City FC,ENG,180,27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,MF,OSORIO Jonathan Jonathan OSORIO OSORIO,12/06/1992,Canada,CAN,Toronto FC,CAN,175,92,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,119.0,1.3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,,100.0,Jonathan Osorio
22,DF,LARYEA Richie Richmond Mamah LARYEA LARYEA,07/01/1995,Canada,CAN,Toronto FC,CAN,175,79,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,160.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,,,100.0,Richie Laryea
23,DF,SIGUR Niko Niko Kristian SIGUR SIGUR,09/09/2003,Canada,CAN,HNK Hajduk Split,CRO,178,20,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,FW,DAVID Promise Promise Oluwatobi Emmanuel DAVID PROMISE,03/07/2001,Canada,CAN,Royale Union Saint-Gilloise,BEL,195,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,MF,SALIBA Nathan Nathan-Dylan SALIBA SALIBA,07/02/2004,Canada,CAN,RSC Anderlecht,BEL,174,17,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,FW,NELSON Jayden Jayden NELSON NELSON,26/09/2002,Canada,CAN,Austin FC,USA,170,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GK,OSPINA David David OSPINA RAMIREZ OSPINA,31/08/1988,Colombia,COL,Atlético Nacional,COL,183,130,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,390.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,David Ospina,,,,,,,,,,,,,,,,,,,,
2,DF,MUNOZ Daniel Daniel MUÑOZ MEJIA D. MUÑOZ,26/05/1996,Colombia,COL,Crystal Palace FC,ENG,180,48,5,37.0,37.0,3228.0,35.9,4.0,5.0,0.0,0.0,10.0,0.0,37.0,18.0,56.0,43.0,77.0,0.0,,,100.0,Daniel Muñoz,29.0,29.0,2399.0,26.7,4.0,3.0,0.0,0.0,7.0,0.0,26.0,12.0,34.0,24.0,48.0,0.0,,,100.0,Daniel Muñoz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DF,LUCUMI Jhon Jhon Janer LUCUMI BONILLA J. LUCUMI,26/06/1998,Colombia,COL,Bologna FC,ITA,187,39,1,32.0,29.0,2614.0,29.0,0.0,1.0,0.0,0.0,8.0,1.0,13.0,2.0,22.0,24.0,29.0,0.0,,,100.0,Jhon Lucumí,29.0,26.0,2287.0,25.4,1.0,0.0,0.0,0.0,5.0,0.0,8.0,2.0,23.0,30.0,22.0,0.0,,,100.0,Jhon Lucumí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DF,ARIAS Santiago Santiago ARIAS NARANJO ARIAS,13/01/1992,Colombia,COL,CA Independiente,ARG,177,68,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,385.0,4.3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,9.0,8.0,3.0,0.0,0.0,0.0,100.0,Santiago Arias,,,,,,,,,,,,,,,,,,,,
5,MF,CASTANO Kevin Kevin Duvan CASTAÑO GIL K. CASTAÑO,29/09/2000,Colombia,COL,CA River Plate,ARG,179,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,MF,RIOS Richard Richard RÍOS MONTOYA RICHARD RIOS,02/06/2000,Colombia,COL,SL Ben,POR,185,34,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,FW,DIAZ Luis Luis Fernando DÍAZ MARULANDA LUIS DIAZ,13/01/1997,Colombia,COL,FC Bayern München,GER,179,76,23,36.0,28.0,2399.0,26.7,13.0,5.0,0.0,0.0,2.0,0.0,71.0,30.0,48.0,7.0,27.0,0.0,,,100.0,Luis Díaz,32.0,27.0,2447.0,27.2,15.0,14.0,0.0,0.0,7.0,1.0,88.0,37.0,35.0,17.0,13.0,0.0,,,100.0,Luis Díaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MF,CARRASCAL Jorge Jorge Andres CARRASCAL GUARDO CARRASCAL,25/05/1998,Colombia,COL,CR Flamengo,BRA,180,25,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,FW,CORDOBA Jhon Jhon Andrés CÓRDOBA COPETE CORDOBA,11/05/1993,Colombia,COL,FC Krasnodar,RUS,186,22,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,MF,RODRIGUEZ James James David RODRÍGUEZ RUBIO JAMES,12/07/1991,Colombia,COL,Minnesota United FC,USA,181,128,31,6.0,1.0,140.0,1.6,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,2.0,1.0,3.0,0.0,,,100.0,James Rodríguez,,,,,,,,,,,,,,,,,,,,,3.0,2.0,152.0,1.7,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,100.0,James Rodríguez,,,,,,,,,,,,,,,,,,,,
11,MF,ARIAS Jhon Jhon Adolfo ARIAS ANDRADE J. ARIAS,21/09/1997,Colombia,COL,SE Palmeiras,BRA,168,40,6,,,,,,,,,,,,,,,,,,,,,23.0,14.0,1124.0,12.5,1.0,0.0,0.0,0.0,1.0,0.0,16.0,3.0,26.0,7.0,27.0,0.0,,,100.0,Jhon Arias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,GK,VARGAS Camilo Camilo Andres VARGAS GIL C. VARGAS,09/03/1989,Colombia,COL,Atlas FC,MEX,183,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,Camilo Vargas,,,,,,,,,,,,,,,,,,,,
13,DF,MINA Yerry Yerry Fernando MINA GONZALEZ Y. MINA,23/09/1994,Colombia,COL,Cagliari,ITA,195,54,8,31.0,31.0,2569.0,28.5,1.0,0.0,0.0,0.0,6.0,1.0,26.0,8.0,40.0,39.0,34.0,0.0,,,100.0,Yerry Mina,26.0,26.0,2150.0,23.9,2.0,0.0,0.0,0.0,5.0,1.0,10.0,3.0,26.0,26.0,18.0,0.0,,,100.0,Yerry Mina,3.0,3.0,300.0,3.3,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,3.0,3.0,0.0,0.0,0.0,100.0,Yerry Mina,,,,,,,,,,,,,,,,,,,,
14,DF,PUERTA Gustavo Gustavo Adolfo PUERTA MOLANO PUERTA,23/07/2003,Colombia,COL,Racing Santander,ESP,173,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,MF,PORTILLA Juan Juan Camilo PORTILLA OROZCO PORTILLA,12/09/1998,Colombia,COL,Athletico Paranaense,BRA,181,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,MF,LERMA Jefferson Jefferson Andrés LERMA SOLIS J. LERMA,25/10/1994,Colombia,COL,Crystal Palace FC,ENG,180,67,5,33.0,26.0,2274.0,25.3,0.0,1.0,0.0,0.0,9.0,0.0,26.0,8.0,35.0,41.0,19.0,0.0,,,100.0,Jefferson Lerma,31.0,18.0,1733.0,19.3,0.0,2.0,0.0,0.0,7.0,0.0,19.0,7.0,25.0,25.0,18.0,2.0,,,100.0,Jefferson Lerma,4.0,2.0,176.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,100.0,Jefferson Lerma,,,,,,,,,,,,,,,,,,,,
17,DF,MOJICA Johan Johan Andrés MOJICA PALACIO J. MOJICA,21/08/1992,Colombia,COL,RCD Mallorca,ESP,184,47,1,36.0,30.0,2755.0,30.6,1.0,2.0,0.0,0.0,5.0,0.0,17.0,3.0,18.0,28.0,23.0,0.0,,,100.0,Johan Mojica,35.0,30.0,2724.0,30.3,0.0,4.0,0.0,0.0,6.0,1.0,17.0,2.0,29.0,24.0,30.0,0.0,,,100.0,Johan Mojica,4.0,4.0,390.0,4.3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,6.0,0.0,0.0,0.0,100.0,Johan Mojica,,,,,,,,,,,,,,,,,,,,
18,DF,DITTA Willer Willer Emilio DITTA PEREZ W. DITTA,23/01/1998,Colombia,COL,CF Cruz Azul,MEX,179,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,FW,HERNANDEZ Cucho Juan Camilo HERNANDEZ SUAREZ C. HERNANDEZ,20/04/1999,Colombia,COL,Real Betis,ESP,176,10,2,15.0,14.0,1139.0,12.7,5.0,1.0,0.0,0.0,0.0,0.0,43.0,11.0,10.0,7.0,10.0,0.0,,,100.0,Cucho,32.0,30.0,2580.0,28.7,11.0,3.0,1.0,1.0,5.0,0.0,89.0,27.0,22.0,11.0,16.0,0.0,,,100.0,Cucho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,MF,QUINTERO Juan Juan Fernando QUINTERO PANIAGUA QUINTERO,18/01/1993,Colombia,COL,CA River Plate,ARG,167,50,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,307.0,3.4,1.0,2.0,0.0,0.0,0.0,0.0,8.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,100.0,Juan Quintero,,,,,,,,,,,,,,,,,,,,
21,FW,CAMPAZ Jaminton Jaminton Leandro CAMPAZ CAMPAZ,24/05/2000,Colombia,COL,CA Rosario Central,ARG,166,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,DF,MACHADO Deiver Deiver MACHADO MENA MACHADO,02/09/1993,Colombia,COL,FC Nantes,FRA,173,15,0,27.0,20.0,1805.0,20.1,1.0,4.0,0.0,0.0,7.0,2.0,23.0,5.0,28.0,16.0,27.0,0.0,,,100.0,Deiver Machado,5.0,4.0,273.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,4.0,3.0,1.0,0.0,,,100.0,Deiver Machado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,DF,SANCHEZ Davinson Davinson SÁNCHEZ MINA SANCHEZ,12/06/1996,Colombia,COL,Galatasaray SK,TUR,188,81,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,390.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,5.0,4.0,0.0,0.0,1.0,100.0,Davinson Sánchez,,,,,,,,,,,,,,,,,,,,
24,GK,MONTERO Alvaro Álvaro David MONTERO PERALES MONTERO,29/03/1995,Colombia,COL,CA Vélez Sars,ARG,201,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,FW,SUAREZ Luis Luis Javier SUÁREZ CHARRIS SUAREZ,02/12/1997,Colombia,COL,Sporting CP,POR,179,14,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,FW,GOMEZ Andres Carlos Andrés GÓMEZ HINESTROZA A. GOMEZ,12/09/2002,Colombia,COL,CR Vasco Da Gama,BRA,170,9,2,17.0,2.0,381.0,4.2,3.0,0.0,0.0,0.0,1.0,0.0,9.0,5.0,11.0,3.0,6.0,0.0,,,100.0,Andrés Gómez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GK,MPASI Lionel Lionel Nzau MPASI MPASI,01/08/1994,Congo DR,COD,Le Havre AC,FRA,182,30,0,,,,,,,,,,,,,,,,,,,,,4.0,3.0,315.0,3.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,100.0,Lionel Mpasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DF,WAN-BISSAKA Aaron Wan BISSAKA WAN BISSAKA,26/11/1997,Congo DR,COD,West Ham United FC,ENG,183,14,0,36.0,35.0,3154.0,35.0,2.0,5.0,0.0,0.0,1.0,0.0,16.0,5.0,25.0,61.0,49.0,1.0,,,100.0,Aaron Wan-Bissaka,25.0,23.0,2081.0,23.1,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,23.0,41.0,24.0,0.0,,,100.0,Aaron Wan-Bissaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DF,KAPUADI Steve Steve Nkanu KAPUADI KAPUADI,30/04/1998,Congo DR,COD,Widzew Łódź,POL,196,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DF,TUANZEBE Axel Axel TUANZEBE TUANZEBE,14/11/1997,Congo DR,COD,Burnley FC,ENG,188,15,1,22.0,20.0,1710.0,19.0,0.0,1.0,0.0,0.0,5.0,1.0,4.0,0.0,17.0,22.0,19.0,1.0,,,100.0,Axel Tuanzebe,14.0,14.0,1201.0,13.3,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,13.0,12.0,8.0,1.0,,,100.0,Axel Tuanzebe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DF,BATUBINSIKA Dylan Dylan Buduka BATUBINSIKA BATUBINSIKA,15/02/1996,Congo DR,COD,AEL FC,GRE,185,15,1,25.0,22.0,2016.0,22.4,1.0,0.0,0.0,0.0,3.0,1.0,7.0,2.0,24.0,41.0,13.0,1.0,,,100.0,Dylan Batubinsika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,MF,MUKAU Ngalayel Ngal’ayel MUKAU MUKAU,03/11/2004,Congo DR,COD,Lille OSC,FRA,186,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,MF,MBUKU Nathanael Nathanaël MBUKU MBUKU,16/03/2002,Congo DR,COD,Montpellier HSC,FRA,170,20,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MF,MOUTOUSSAMY Samuel Samuel Alain MOUTOUSSAMY MOUTOUSSAMY,12/08/1996,Congo DR,COD,Atromitos FC,GRE,176,60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,FW,CIPENGA Brian Kibambe Brian CIPENGA CIPENGA,11/03/1998,Congo DR,COD,CD Castellón,ESP,172,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,MF,BONGONDA Theo Theo Mbulofeko Batombo BONGONDA BONGONDA,20/11/1995,Congo DR,COD,FC Spartak Moscow,RUS,176,38,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,FW,KAKUTA Gael Mambenga Gaël Roméo KAKUTA KAKUTA,21/06/1991,Congo DR,COD,AEL FC,GRE,174,31,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,DF,KAYEMBE Joris Joris KAYEMBE-DITU J. KAYEMBE,08/08/1994,Congo DR,COD,KRC Genk,BEL,180,28,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,FW,ELIA Meschack Meschack Lina ELIA MESCHACK,06/08/1997,Congo DR,COD,Alanyaspor,TUR,173,68,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,MF,SADIKI Noah Noah Junior SADIKI SADIKI,17/12/2004,Congo DR,COD,Sunderland AFC,ENG,165,22,0,,,,,,,,,,,,,,,,,,,,,33.0,33.0,2889.0,32.1,0.0,1.0,0.0,0.0,9.0,0.0,19.0,5.0,31.0,33.0,26.0,0.0,,,100.0,Noah Sadiki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,MF,TSHIBOLA Aaron Tshibola AARON TSHIBOLA,02/01/1995,Congo DR,COD,Kilmarnock FC,SCO,184,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,GK,FAYULU Timothy Timothy Bruce Munzoko FAYULU FAYULU,24/07/1999,Congo DR,COD,FC Noah,ARM,192,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,FW,BAKAMBU Cedric Cedric BAKAMBU BAKAMBU,11/04/1991,Congo DR,COD,Real Betis,ESP,182,72,21,25.0,6.0,710.0,7.9,2.0,2.0,0.0,0.0,4.0,0.0,24.0,11.0,23.0,0.0,3.0,0.0,,,100.0,Cédric Bakambu,18.0,5.0,569.0,6.3,3.0,1.0,0.0,0.0,1.0,0.0,21.0,9.0,11.0,2.0,2.0,0.0,,,100.0,Cédric Bakambu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,MF,PICKEL Charles Charles Monginda PICKEL PICKEL,15/05/1997,Congo DR,COD,RCD Espanyol,ESP,187,36,1,,,,,,,,,,,,,,,,,,,,,24.0,4.0,707.0,7.9,1.0,0.0,0.0,0.0,4.0,2.0,10.0,4.0,14.0,6.0,6.0,0.0,,,100.0,Charles Pickel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,FW,MAYELE Fiston Mayele Fiston KALALA MAYELE,24/06/1994,Congo DR,COD,Pyramids FC,EGY,185,36,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,FW,WISSA Yoane Yoane WISSA WISSA,03/09/1996,Congo DR,COD,Newcastle United FC,ENG,176,40,9,35.0,34.0,2919.0,32.4,19.0,4.0,0.0,0.0,5.0,0.0,90.0,43.0,33.0,8.0,13.0,0.0,,,100.0,Yoane Wissa,19.0,4.0,531.0,5.9,1.0,1.0,0.0,0.0,3.0,0.0,13.0,5.0,6.0,0.0,5.0,0.0,,,100.0,Yoane Wissa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,GK,EPOLO Matthieu Matthieu Luka EPOLO EPOLO,15/01/2005,Congo DR,COD,Standard Liège,BEL,183,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,DF,MBEMBA Chancel Mangulu Chancel MBEMBA MBEMBA,08/08/1994,Congo DR,COD,Lille OSC,FRA,182,111,7,,,,,,,,,,,,,,,,,,,,,13.0,9.0,954.0,10.6,0.0,0.0,0.0,0.0,3.0,0.0,7.0,3.0,10.0,13.0,8.0,1.0,,,100.0,Chancel Mbemba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
